,,13/14,14/15,15/16,16/17,17/18,Total,Country,total
Folgore,Sma,,0.25,0.5,0.25,0.25,1.25,0.099,1.349
Atlantas Klaipeda,Lit,,0.5,0.25,0.25,0.25,1.25,1.075,2.325
Daugava Daugavpils,Lat,1,0.25,,,,1.25,1.125,2.375
Ekranas Panevezys,Lit,1,0.25,,,,1.25,1.075,2.325
Skonto Riga,Lat,0.5,,0.5,,,1,1.125,2.125
Daugava Riga,Lat,,0.25,,,,0.25,1.125,1.375
Metalurgs Liepaja,Lat,0.25,,,,,0.25,1.125,1.375
Latvia,,,,,,,,1.125,1.125
FCI Tallinn,Est,,,,0.25,0.5,0.75,1.1,1.85
Kalev Sillamäe,Est,,0.5,0.25,,,0.75,1.1,1.85
Santos Tartu,Est,,0.25,,,,0.25,1.1,1.35
Trans Narva,Est,0.25,,,,,0.25,1.1,1.35
Estonia,,,,,,,,1.1,1.1
Kruoja Pakruojis,Lit,0.25,,0.25,,,0.5,1.075,1.575
Banga Gargzdai,Lit,,0.25,,,,0.25,1.075,1.325
Lithuania,,,,,,,,1.075,1.075
Bala Town,Wal,0.25,,0.25,0.25,0.25,1,0.775,1.775
UE Santa Coloma,And,0.25,0.25,,0.25,0.25,1,0.266,1.266
Dinamo Batumi,Geo,,,0.25,,0.25,0.5,1,1.5
Torpedo Kutaisi,Geo,0.25,,,,0.25,0.5,1,1.5
Zeta Golubovci,Mon,,,,,0.25,0.25,1,1.25
FC Lusitanos,And,0.5,,0.25,0.25,,1,0.266,1.266
Jeunesse d'Esch,Lux,0.5,0.25,,0.25,,1,0.875,1.875
Bokelj Kotor,Mon,,,,0.25,,0.25,1,1.25
Spartak Tskhinvali,Geo,,,0.25,,,0.25,1,1.25
FC Zestafoni,Geo,,0.5,,,,0.5,1,1.5
Celik Niksic,Mon,0.25,0.25,,,,0.5,1,1.5
Lovcen Cetinje,Mon,,0.25,,,,0.25,1,1.25
Sioni Bolnisi,Geo,,0.25,,,,0.25,1,1.25
EB Streymur,Far,1,,,,,1,0.75,1.75
Montenegro,,,,,,,,1,1
Georgia,,,,,,,,1,1
Gandzasar Kapan,Arm,0.25,,,,0.25,0.5,0.975,1.475
Banants Yerevan,Arm,,0.5,,0.25,,0.75,0.975,1.725
Ulisses Yerevan,Arm,,,0.25,,,0.25,0.975,1.225
Mika Ashtarak,Arm,0.25,0.25,,,,0.5,0.975,1.475
Armenia,,,,,,,,0.975,0.975
Balzan FC,Mlt,,,0.25,0.25,0.25,0.75,0.9,1.65
Floriana,Mlt,,,,,0.25,0.25,0.9,1.15
Sliema Wanderers,Mlt,0.25,0.25,,,,0.5,0.9,1.4
Malta,,,,,,,,0.9,0.9
Progrès Niederkorn,Lux,,,0.25,,0.5,0.75,0.875,1.625
Luxembourg,,,,,,,,0.875,0.875
Ballymena United,Nir,,,,,0.25,0.25,0.85,1.1
Coleraine,Nir,,,,,0.25,0.25,0.85,1.1
Glenavon,Nir,,0.25,0.25,0.25,,0.75,0.85,1.6
Glentoran,Nir,0.25,,0.25,,,0.5,0.85,1.35
Northern Ireland,,,,,,,,0.85,0.85
Connah's Quay,Wal,,,,0.5,0.25,0.75,0.775,1.525
Bangor City,Wal,,0.25,,,0.25,0.5,0.775,1.275
Llandudno FC,Wal,,,,0.25,,0.25,0.775,1.025
Newtown,Wal,,,0.5,,,0.5,0.775,1.275
Airbus UK Broughton,Wal,0.25,0.25,0.25,,,0.75,0.775,1.525
Aberystwyth Town,Wal,,0.25,,,,0.25,0.775,1.025
Prestatyn Town,Wal,0.5,,,,,0.5,0.775,1.275
Wales,,,,,,,,0.775,0.775
NSI Runavik,Far,,,0.25,0.25,0.25,0.75,0.75,1.5
Sant Julià,And,,0.25,0.25,,0.25,0.75,0.266,1.016
KI Klaksvik,Far,,,,,0.25,0.25,0.75,1
IF Fuglafjørdur,Far,0.25,0.25,,,,0.5,0.75,1.25
Faroe Islands,,,,,,,,0.75,0.75
St Joseph's FC,Gib,,,,,0.25,0.25,0.6,0.85
Gibraltar,,,,,,,,0.6,0.6
Trepça'89,Kos,,,,,0.5,0.5,0,0.5
Libertas,Sma,0.25,0.25,,,,0.5,0.099,0.599
Andorra,,,,,,,,0.266,0.266
FC Prishtina,Kos,,,,,0.25,0.25,0,0.25
Juvenes Dogana,Sma,,,0.25,,,0.25,0.099,0.349
San Marino,,,,,,,,0.099,0.099
Kosovo,,,,,,,,0,0
