,,09월 10일,10월 11일,11월 12일,12월 13일,13/14,ranking
AEK Athens,Gre,4.58,6.52,3.52,0.88,1.22,16.72
Paços de Ferreira,Por,3,3.76,2.3666,2.35,4.9832,16.459
Académica Coimbra,Por,2,3.76,2.3666,6.35,1.9832,16.459
Heerenveen,Ned,7.8832,2.2332,2.72,2.3428,1.1832,16.362
Germany,,3.6166,3.1332,3.05,3.5856,2.9428,16.328
Toulouse FC,Fra,8,2.15,2.1,2.35,1.7,16.3
NK Maribor,Slo,1.775,1.8,2.45,3.65,6.525,16.2
Chernomorets Odesa,Ukr,1.16,2.0166,1.55,1.9,9.5666,16.193
Bursaspor,Tur,1.52,5.92,2.52,3.54,2.34,15.84
Estoril Praia,Por,2,3.76,2.3666,2.35,4.9832,15.459
Legia Warsaw,Pol,1.425,0.9,8.325,2,2.625,15.275
FC Vaslui,Rom,2.7166,2.1332,5.8666,2.86,1.375,14.951
Partizan Belgrade,Srb,2.6,4.7,1.925,3.6,2,14.825
Aris Thessaloniki,Gre,1.58,9.52,1.52,0.88,1.22,14.72
Kuban Krasnodar,Rus,1.2332,2.1832,1.95,1.95,7.0832,14.399
FC Utrecht,Ned,1.8832,7.2332,2.72,0.8428,1.6832,14.362
Stade Rennais,Fra,3,2.15,5.1,2.35,1.7,14.3
AA Gent,Bel,2.74,5.92,2.02,2.3,1.28,14.26
Wisla Kraków,Pol,1.425,1.9,9.325,0.5,0.625,13.775
Dinamo Bucuresti,Rom,5.2166,1.6332,2.3666,2.86,1.375,13.451
Italy,,3.0856,2.3142,2.2714,2.8832,2.8332,13.387
Feyenoord,Ned,1.8832,3.7332,2.72,2.3428,2.6832,13.362
Esbjerg fB,Den,0.88,1.34,0.62,0.66,9.76,13.26
FC Nordsjælland,Den,0.88,2.34,2.12,5.66,2.26,13.26
Sturm Graz,Aut,4.875,2.375,3.425,0.45,2.06,13.185
OGC Nice,Fra,3,2.15,2.1,2.35,3.2,12.8
AS Saint-Étienne,Fra,3,2.15,2.1,2.35,3.2,12.8
FC Sochaux-Montbéliard,Fra,3,2.15,3.6,2.35,1.7,12.8
En Avant Guingamp,Fra,4.5,2.15,2.1,2.35,1.7,12.8
Portugal,,2,3.76,2.3666,2.35,1.9832,12.459
Dinamo Moscow,Rus,2.7332,2.1832,1.95,3.45,2.0832,12.399
Zulte Waregem,Bel,1.74,0.92,2.02,1.3,6.28,12.26
Levski Sofia,Bul,2.625,5.925,1.3,0.65,1.375,11.875
OB Odense,Den,2.38,4.34,3.62,0.66,0.76,11.76
Metalurg Donetsk,Ukr,2.66,2.0166,1.55,2.9,2.5666,11.693
Vorskla Poltava,Ukr,2.66,2.0166,3.55,1.9,1.5666,11.693
Karpaty Lviv,Ukr,1.16,4.0166,3.05,1.9,1.5666,11.693
Rosenborg BK,Nor,0.92,2.475,1.96,4.98,1.02,11.355
France,,3,2.15,2.1,2.35,1.7,11.3
IF Elfsborg,Swe,2,2.02,1.58,2.025,3.64,11.265
FC Timisoara,Rom,5.2166,2.1332,0.8666,1.36,1.375,10.951
Alania Vladikavkaz,Rus,1.2332,2.1832,3.45,1.95,2.0832,10.899
Sibir Novosibirsk,Rus,1.2332,3.6832,1.95,1.95,2.0832,10.899
Amkar Perm,Rus,2.7332,2.1832,1.95,1.95,2.0832,10.899
Vitesse Arnhem,Ned,1.8832,2.2332,2.72,1.8428,2.1832,10.862
FC Sankt Gallen,Sui,1.15,1.18,1.2,1.675,5.44,10.645
Krylia Sovetov Samara,Rus,2.2332,2.1832,1.95,1.95,2.0832,10.399
NAC Breda,Ned,3.3832,2.2332,2.72,0.8428,1.1832,10.362
