,,11월 12일,12월 13일,13/14,14/15,15/16,ranking
Sweden,,0.58,1.025,0.64,0.78,0.95,3.975
Inverness CT,Sco,0.55,0.86,0.65,0.8,1.1,3.96
Hibernian,Sco,0.55,0.86,1.15,0.8,0.6,3.96
Cukaricki Belgrade,Srb,0.425,0.6,0.5,1.05,1.35,3.925
NK Koper,Slo,0.7,0.65,0.525,1.3,0.7,3.875
Levadia Tallinn,Est,0.575,0.575,0.7,1.3,0.7,3.85
Kalju Nomme,Est,0.325,0.325,1.7,0.8,0.7,3.85
Norway,,0.46,0.98,0.52,0.44,1.45,3.85
Pyunik Yerevan,Arm,1.025,0.425,0.725,0.325,1.325,3.825
Irtysh Pavlodar,Kaz,0.825,0.275,1.125,0.675,0.925,3.825
Tobol Kustanai,Kaz,1.325,0.275,0.625,0.675,0.925,3.825
Zimbru Chisinau,Mol,0.1,0.95,0.675,1.85,0.25,3.825
Breidablik,Isl,1.275,0.25,1.5,0.5,0.225,3.75
Israel,,1.2,0.65,1.15,0.275,0.45,3.725
Denmark,,0.62,0.66,0.76,0.58,1.1,3.72
Siroki Brijeg,Bos,0.475,0.75,1.3,0.85,0.3,3.675
FC Beroe Stara Zagora,Bul,0.3,0.15,1.625,0.85,0.7,3.625
NK Domzale,Slo,0.95,0.65,0.775,0.8,0.45,3.625
Lokomotiv Sofia,Bul,1.3,0.15,1.125,0.85,0.2,3.625
Ordabasy Shymkent,Kaz,0.325,0.775,0.625,0.675,1.175,3.575
Skonto Riga,Lat,1.125,0.75,0.825,0.05,0.825,3.575
CS Fola Esch,Lux,0.475,0.275,1.3,0.35,1.15,3.55
Ferencváros,Hun,0.95,0.6,0.175,0.925,0.825,3.475
ETO Györ,Hun,0.45,0.6,1.175,0.925,0.325,3.475
Scotland,,0.55,0.86,0.65,0.8,0.6,3.46
Metalurg Skopje,Mac,0.825,0.75,0.35,1.225,0.3,3.45
FK Rad Belgrade,Srb,0.925,0.6,0.5,0.55,0.85,3.425
Crusaders Belfast,Nir,0.6,0.45,0.425,0.775,1.15,3.4
Cliftonville,Nir,0.35,0.45,1.175,1.275,0.15,3.4
NK Celje,Slo,0.45,0.9,0.775,0.8,0.45,3.375
Flora Tallinn,Est,1.075,1.075,0.45,0.3,0.45,3.35
