,,10월 11일,11월 12일,12월 13일,13/14,14/15,ranking
Ekranas Panevezys,Lit,1.125,1.7,1.725,1.25,0.35,6.15
SV Grödig,Aut,0.875,1.425,0.45,1.56,1.825,6.135
St. Pölten,Aut,0.875,1.425,0.45,1.56,1.825,6.135
Admira Wacker,Aut,0.875,1.425,1.45,1.56,0.825,6.135
FH Hafnarfjardar,Isl,1.075,0.775,0.75,2,1.5,6.1
St. Johnstone,Sco,0.72,0.55,1.36,1.65,1.8,6.08
IFK Göteborg,Swe,1.52,0.58,1.025,1.14,1.78,6.045
Zeljeznicar Sarajevo,Bos,1.375,1.225,1.25,1.3,0.85,6
Randers FC,Den,2.34,0.62,0.66,1.76,0.58,5.96
Strømsgodset IF,Nor,0.475,1.46,0.98,1.52,1.44,5.875
FC Zestafoni,Geo,1.375,2.075,1.3,0.375,0.75,5.875
Czech Republic,,0.7,1.05,1.7,1.6,0.775,5.825
Slaven Koprivnica,Cro,0.825,0.75,1.875,0.875,1.375,5.7
NK Varazdin,Cro,0.825,1.75,0.875,0.875,1.375,5.7
Dnepr Mogilev,Bls,2.675,0.625,0.9,0.35,1.1,5.65
KR Reykjavik,Isl,0.575,1.275,1.25,1,1.5,5.6
Skënderbeu Korçë,Alb,0.175,1.175,1.15,1.9,1.175,5.575
The New Saints,Wal,1.675,0.625,1.1,1.15,1.025,5.575
Jagiellonia Bialystok,Pol,1.9,1.575,0.5,0.625,0.95,5.55
BK Häcken,Swe,0.52,1.58,1.025,1.64,0.78,5.545
Kalmar FF,Swe,1.52,0.58,2.025,0.64,0.78,5.545
FK Sarajevo,Bos,0.375,1.225,1.25,0.8,1.85,5.5
Ermis Aradippou,Cyp,0.625,1.825,0.8,0.55,1.66,5.46
AC Horsens,Den,1.34,0.62,2.16,0.76,0.58,5.46
FK Ventspils,Lat,0.6,1.125,1.25,1.325,1.05,5.35
Romania,,0.6332,0.8666,1.36,1.375,1.025,5.259
Lokomotiva Zagreb,Cro,0.825,0.75,0.875,1.375,1.375,5.2
NK Osijek,Cro,0.825,0.75,1.375,0.875,1.375,5.2
Cibalia Vinkovci,Cro,1.325,0.75,0.875,0.875,1.375,5.2
NK Sibenik,Cro,1.325,0.75,0.875,0.875,1.375,5.2
ETO Györ,Hun,2.05,0.45,0.6,1.175,0.925,5.2
Hapoel Ramat-Gan,Isr,0.925,1.2,0.65,2.15,0.275,5.2
Shamrock Rovers,Irl,1.2,2.3,1.2,0.05,0.4,5.15
Austria,,0.875,1.425,0.45,1.56,0.825,5.135
Hibernian,Sco,1.72,0.55,0.86,1.15,0.8,5.08
Gefle IF,Swe,1.02,0.58,1.025,1.64,0.78,5.045
F91 Dudelange,Lux,0.375,1.225,1.775,0.55,1.1,5.025
Inter Baku,Azb,1.4,0.275,1.1,1,1.225,5
Olimpija Ljubljana,Slo,0.55,1.45,1.15,1.025,0.8,4.975
Linfield Belfast,Nir,1.225,1.1,1.2,0.675,0.775,4.975
Dila Gori,Geo,0.375,0.575,1.8,1.875,0.25,4.875
Botev Plovdiv,Bul,0.925,0.3,0.15,2.125,1.35,4.85
FC Beroe Stara Zagora,Bul,1.925,0.3,0.15,1.625,0.85,4.85
Valletta FC,Mlt,0.8,1.1666,1.175,0.675,1.025,4.841
Zawisza Bydgoszcz,Pol,0.9,1.325,0.5,0.625,1.45,4.8
Piast Gliwice,Pol,0.9,1.325,0.5,1.125,0.95,4.8
Differdange 03,Lux,0.625,1.725,0.775,1.3,0.35,4.775
Hapoel Beer-Sheva,Isr,0.925,1.2,0.65,1.15,0.775,4.7
Maccabi Netanya,Isr,0.925,1.2,1.15,1.15,0.275,4.7
Croatia,,0.825,0.75,0.875,0.875,1.375,4.7
Rabotnicki Skopje,Mac,1.275,1.825,0.25,0.1,1.225,4.675
Neman Grodno,Bls,1.175,0.625,0.9,0.35,1.6,4.65
Naftan Novopolotsk,Bls,1.175,0.625,1.4,0.35,1.1,4.65
Torpedo Zhodino,Bls,1.675,0.625,0.9,0.35,1.1,4.65
Aberdeen,Sco,0.72,0.55,0.86,0.65,1.8,4.58
IF Brommapojkarna,Swe,0.52,0.58,1.025,0.64,1.78,4.545
Dacia Chisinau,Mol,0.925,1.1,0.95,1.175,0.35,4.5
NK Koper,Slo,1.3,0.7,0.65,0.525,1.3,4.475
Cliftonville,Nir,1.225,0.35,0.45,1.175,1.275,4.475
AGF Aarhus,Den,1.34,0.62,1.16,0.76,0.58,4.46
Cyprus,,0.625,1.825,0.8,0.55,0.66,4.46
St. Patrick's Athletic,Irl,0.2,1.3,1.2,0.3,1.4,4.4
Olimpi Rustavi,Geo,1.375,1.575,0.8,0.375,0.25,4.375
Lokomotiv Sofia,Bul,0.925,1.3,0.15,1.125,0.85,4.35
Poland,,0.9,1.325,0.5,0.625,0.95,4.3
AS Trencín,Svk,0.6,0.475,0.3,1.325,1.55,4.25
Siroki Brijeg,Bos,0.875,0.475,0.75,1.3,0.85,4.25
Khazar Lenkoran,Azb,0.65,0.775,1.1,1,0.725,4.25
FK Senica,Svk,0.6,1.475,0.8,0.825,0.55,4.25
Mura Murska Sobota,Slo,0.3,0.45,2.15,0.525,0.8,4.225
Levadia Tallinn,Est,1.05,0.575,0.575,0.7,1.3,4.2
Israel,,0.925,1.2,0.65,1.15,0.275,4.2
Sligo Rovers,Irl,0.2,1.3,0.7,1.05,0.9,4.15
Belarus,,1.175,0.625,0.9,0.35,1.1,4.15
Breidablik,Isl,0.575,1.275,0.25,1.5,0.5,4.1
Örebro SK,Swe,0.52,1.08,1.025,0.64,0.78,4.045
FK Jagodina,Srb,0.7,0.425,0.85,1,1.05,4.025
Zimbru Chisinau,Mol,0.425,0.1,0.95,0.675,1.85,4
Zrinjski Mostar,Bos,1.375,0.225,0.25,0.8,1.35,4
Denmark,,1.34,0.62,0.66,0.76,0.58,3.96
HB Torshavn,Far,1.05,1.1,0.1,0.425,1.275,3.95
Zalgiris Vilnius,Lit,0.125,0.2,0.725,1.75,1.1,3.9
Buducnost Podgorica,Mon,1.35,0.35,1.275,0.25,0.65,3.875
Vålerengen IF,Nor,0.475,1.46,0.98,0.52,0.44,3.875
Lokomotiv Plovdiv,Bul,0.925,0.3,0.65,1.125,0.85,3.85
FK Astana,Kaz,0.175,0.325,0.275,0.875,2.175,3.825
OFK Belgrade,Srb,1.7,0.425,0.6,0.5,0.55,3.775
Spartak Zlatibor Voda,Srb,1.7,0.425,0.6,0.5,0.55,3.775
Milsami Orhei,Mol,0.425,0.35,0.95,1.675,0.35,3.75
Nova Gorica,Slo,0.8,0.45,0.65,0.525,1.3,3.725
Metalurg Skopje,Mac,0.525,0.825,0.75,0.35,1.225,3.675
MyPa-47,Fin,1.36,0.3,0.9,0.1,0.98,3.64
Stabæk IF,Nor,0.975,0.46,1.23,0.52,0.44,3.625
Birkirkara,Mlt,1.3,0.4166,0.425,1.175,0.275,3.591
Scotland,,0.72,0.55,0.86,0.65,0.8,3.58
Pyunik Yerevan,Arm,1.05,1.025,0.425,0.725,0.325,3.55
Sweden,,0.52,0.58,1.025,0.64,0.78,3.545
NK Domzale,Slo,0.3,0.95,0.65,0.775,0.8,3.475
FC Vaduz,Lie,0.6,1.4,,0.45,1,3.45
Honka Espoo,Fin,0.86,0.8,0.4,0.6,0.73,3.39
Inter Turku,Fin,1.36,0.3,0.9,0.35,0.48,3.39
Chikhura Sachkhere,Geo,0.375,0.575,0.3,0.875,1.25,3.375
FK Haugesund,Nor,0.475,0.46,0.98,0.52,0.94,3.375
IL Hødd,Nor,0.475,0.46,0.98,1.02,0.44,3.375
Rudar Pljevlja,Mon,1.35,0.6,0.525,0.75,0.15,3.375
Bulgaria,,0.925,0.3,0.15,1.125,0.85,3.35
Tobol Kustanai,Kaz,0.425,1.325,0.275,0.625,0.675,3.325
