,,12월 13일,13/14,14/15,15/16,16/17,ranking
Botev Plovdiv,Bul,0.15,2.125,1.35,0.2,0.85,4.675
Aalesunds FK,Nor,1.98,0.52,0.44,1.45,0.275,4.665
Olimpija Ljubljana,Slo,1.15,1.025,0.8,0.2,1.45,4.625
Cukaricki Belgrade,Srb,0.6,0.5,1.05,1.35,1.075,4.575
FK Kukësi,Alb,0.15,1.9,0.425,1.425,0.675,4.575
Valletta FC,Mlt,1.175,0.675,1.025,0.425,1.25,4.55
Khazar Lenkoran,Azb,1.1,1,0.725,0.875,0.85,4.55
Neman Grodno,Bls,0.9,0.35,1.6,1.025,0.6,4.475
Naftan Novopolotsk,Bls,1.4,0.35,1.1,1.025,0.6,4.475
FC Vaduz,Lie,,0.45,1,2,1,4.45
Jagiellonia Bialystok,Pol,0.5,0.625,0.95,1.6,0.775,4.45
Zawisza Bydgoszcz,Pol,0.5,0.625,1.45,1.1,0.775,4.45
Levski Sofia,Bul,0.65,1.375,0.85,0.2,1.35,4.425
Zimbru Chisinau,Mol,0.95,0.675,1.85,0.25,0.675,4.4
Maccabi Netanya,Isr,1.15,1.15,0.275,0.45,1.35,4.375
FK Jagodina,Srb,0.85,1,1.05,0.85,0.575,4.325
St. Patrick's Athletic,Irl,1.2,0.3,1.4,0.39,1.025,4.315
Inverness CT,Sco,0.86,0.65,0.8,1.1,0.875,4.285
Cracovia Kraków,Pol,0.5,0.625,0.95,1.1,1.025,4.2
CSKA Sofia,Bul,0.65,1.125,1.35,0.2,0.85,4.175
Stjarnan FC,Isl,0.25,0.5,2,1.225,0.2,4.175
Stabæk IF,Nor,1.23,0.52,0.44,1.45,0.525,4.165
FK Haugesund,Nor,0.98,0.52,0.94,1.45,0.275,4.165
IL Hødd,Nor,0.98,1.02,0.44,1.45,0.275,4.165
NK Domzale,Slo,0.65,0.775,0.8,0.45,1.45,4.125
Mura Murska Sobota,Slo,2.15,0.525,0.8,0.2,0.45,4.125
