"","X","home_shot","away_shot","home_possession","away_possession","home_pass_success","away_pass_success","home_dribbles","away_dribbles","home_aerials_won","away_aerials_won","home_tackles","away_tackles","home_corners","away_corners","home_dispossessed","away_dispossessed","home_missing_player","away_missing_player","home","away","half_home_score","half_away_score","full_home_score","full_away_score","kick_off","day","date","matchup_home_goals","matchup_away_goals","matchup_home_wins","matchup_draw","matchup_away_wins","home_total_att","away_total_att","home_open_att","away_open_att","home_set_att","away_set_att","home_counter_att","away_counter_att","home_pk_att","away_pk_att","home_own_att","away_own_att","home_total_passes","away_total_passes","home_crosses_passes","away_crosses_passes","home_long_balls","away_long_balls","home_short_passes","away_short_passes","date_no","home_last_5_points","away_last_5_points","home_last_5_goals","away_last_5_goals","home_last_5_possession","away_last_5_possession","home_last_5_conceded","away_last_5_conceded","home_last_5_passes","away_last_5_passes","home_last_5_shot","away_last_5_shot","season","home_uefa","away_uefa"
"170",111,5,7,23.5,76.5,65,88,5,8,15,14,10,13,0,5,8,8,3,5,"Cadiz","Villarreal",0,0,0,0,"15:00","Sun","25-10-20",3,10,0,40,60,5,7,4,4,1,3,0,0,0,0,0,0,240,779,18,21,62,50,160,706,18560,10,10,6,7,29.52,53.5,4,7,1251,2722,49,51,"LIGA2021",20.456,76.456
"171",191,10,5,65.5,34.5,69,44,7,4,35,37,11,12,6,1,10,8,0,7,"Getafe","Granada",0,1,0,1,"17:30","Sun","25-10-20",8,10,17,17,67,10,5,6,2,4,1,0,1,0,1,0,0,401,211,48,8,76,79,277,123,18560,10,10,5,7,42.42,50.12,3,8,1698,2034,39,51,"LIGA2021",31.456,20.456
"172",322,13,7,52,48,81,78,7,8,17,18,20,12,4,5,6,15,6,3,"Real Sociedad","SD Huesca",1,0,4,1,"20:00","Sun","25-10-20",8,4,50,50,0,13,7,9,5,2,2,1,0,1,0,0,0,458,429,14,11,63,70,378,348,18560,10,4,9,3,51.08,54.92,1,5,2256,2529,63,61,"LIGA2021",29.456,20.456
"173",140,10,11,58.6,41.4,81,70,12,7,8,11,17,17,3,2,12,7,2,5,"Levante","Celta Vigo",0,0,1,1,"20:00","Mon","26-10-20",13,11,50,0,50,10,11,7,9,2,2,0,0,1,0,0,0,531,371,16,15,66,59,449,297,18561,3,4,5,3,48.62,50.8,10,9,2095,2241,50,62,"LIGA2021",20.456,39.456
"174",99,9,6,73.1,26.9,81,46,7,1,30,25,13,16,7,2,7,5,2,3,"Eibar","Cadiz",0,2,0,2,"20:00","Fri","30-10-20",7,4,67,17,17,9,6,7,4,2,1,0,1,0,0,0,0,680,252,38,9,99,106,543,136,18565,7,8,4,4,47.68,28.4,4,4,1908,1241,43,48,"LIGA2021",20.456,20.456
"175",18,16,7,46.2,53.8,77,82,6,2,14,18,4,14,6,1,6,3,4,3,"Athletic Bilbao","Sevilla",0,1,2,1,"15:15","Sat","31-10-20",5,7,33,17,50,16,7,8,6,8,1,0,0,0,0,0,0,393,458,27,18,67,73,299,367,18566,6,7,4,5,58.9,61.4,4,4,2351,2978,57,72,"LIGA2021",56.456,122.456
"176",25,13,9,59.3,40.7,89,86,16,9,5,9,18,17,6,3,9,10,5,3,"Real Madrid","SD Huesca",2,0,4,1,"13:00","Sat","31-10-20",4,2,100,0,0,13,9,10,9,1,0,2,0,0,0,0,0,689,473,20,18,56,45,611,409,18566,12,4,9,4,58.94,50.34,4,7,2953,2346,68,63,"LIGA2021",154.456,20.456
"177",240,8,11,44.8,55.2,72,81,10,9,21,20,12,15,3,2,8,6,6,4,"Osasuna","Atletico Madrid",0,1,1,3,"17:30","Sat","31-10-20",4,15,17,0,83,8,11,5,7,3,2,0,0,0,2,0,0,470,580,25,9,94,73,351,496,18566,7,11,4,10,42.44,52.16,4,1,1710,2686,46,68,"LIGA2021",20.456,20.456
"178",290,4,25,20.7,79.3,65,90,4,21,10,7,27,18,2,14,8,10,2,4,"Deportivo Alaves","Barcelona",1,0,1,1,"20:00","Sat","31-10-20",2,18,0,0,100,4,25,2,16,1,9,1,0,0,0,0,0,222,852,7,15,53,24,161,811,18566,7,7,4,9,46.34,58.46,5,5,1947,3199,52,53,"LIGA2021",20.456,148.456
"179",136,17,4,59.6,40.4,90,86,12,10,5,9,18,12,1,1,5,10,7,1,"Real Betis","Elche",2,0,3,1,"13:00","Sun","01-11-20",5,11,17,17,67,17,4,14,3,1,1,1,0,1,0,0,0,673,460,15,3,67,47,591,409,18567,3,10,4,5,56.92,46.04,11,4,2713,2186,61,22,"LIGA2021",30.456,20.456
"180",192,5,19,28.5,71.5,64,85,7,4,15,23,8,8,2,8,5,5,6,3,"Granada","Levante",1,1,1,1,"17:30","Sun","01-11-20",10,8,33,17,50,5,19,4,17,1,2,0,0,0,0,0,0,211,521,11,36,60,54,140,431,18567,10,4,6,4,49,49.14,8,7,1897,2138,52,41,"LIGA2021",20.456,20.456
"181",230,9,16,38.3,61.7,66,77,12,6,37,27,14,16,0,3,10,8,2,0,"Valencia","Getafe",1,0,2,2,"20:00","Sun","01-11-20",7,8,33,33,33,9,16,5,11,0,5,3,0,1,0,0,0,296,470,4,33,68,77,224,360,18567,4,7,4,4,44.04,44.48,7,4,2032,1649,44,43,"LIGA2021",74.456,31.456
"182",337,9,9,45.6,54.4,77,82,11,7,8,11,18,17,2,3,5,11,5,5,"Celta Vigo","Real Sociedad",0,2,1,4,"15:00","Sun","01-11-20",6,7,33,17,50,9,9,5,7,2,2,1,0,1,0,0,0,415,494,7,14,51,65,356,413,18567,2,12,2,13,48.88,55.02,9,2,2159,2370,50,70,"LIGA2021",39.456,29.456
"183",17,11,11,59.7,40.3,84,77,17,10,25,13,12,20,6,4,11,7,5,5,"Villarreal","Real Valladolid",2,0,2,0,"20:00","Mon","02-11-20",5,4,33,33,33,11,11,7,9,4,2,0,0,0,0,0,0,561,377,13,41,56,63,489,273,18568,8,2,5,4,57.28,44.34,6,8,3040,1791,44,40,"LIGA2021",76.456,20.456
"184",11,8,14,51.4,48.6,84,84,13,10,12,12,11,19,3,3,13,6,2,3,"Elche","Celta Vigo",1,1,1,1,"20:00","Fri","06-11-20",5,5,50,17,33,8,14,4,9,3,3,0,2,1,0,0,0,500,476,27,9,63,44,410,420,18572,10,1,6,2,46.1,48.74,4,12,2291,2239,21,54,"LIGA2021",20.456,39.456
"185",267,14,8,58.5,41.5,78,71,7,2,22,15,11,11,4,3,7,6,2,3,"SD Huesca","Eibar",0,1,1,1,"13:00","Sat","07-11-20",8,6,67,0,33,14,8,13,7,1,1,0,0,0,0,0,0,517,362,29,17,68,86,420,259,18573,3,7,4,3,48.04,52.5,10,4,2386,2225,55,45,"LIGA2021",20.456,20.456
"186",291,18,12,59.5,40.5,89,82,9,7,5,7,8,13,9,5,7,4,3,4,"Barcelona","Real Betis",1,1,5,2,"15:15","Sat","07-11-20",22,9,83,0,17,18,12,14,7,1,4,1,1,2,0,0,0,639,434,14,10,27,48,593,376,18573,5,6,6,5,63,59.7,6,9,3342,2914,61,63,"LIGA2021",148.456,30.456
"187",327,9,10,66.6,33.4,85,72,18,9,26,26,11,12,3,0,5,3,3,5,"Sevilla","Osasuna",0,0,1,0,"17:30","Sat","07-11-20",17,8,83,17,0,9,10,7,9,1,1,0,0,1,0,0,0,575,288,23,12,82,64,470,212,18573,4,7,3,5,56.98,42.44,5,6,2699,1813,65,44,"LIGA2021",122.456,20.456
"188",343,17,10,67.5,32.5,91,77,8,12,18,10,12,19,2,7,16,7,4,6,"Atletico Madrid","Cadiz",2,0,4,0,"20:00","Sat","07-11-20",7,3,67,17,17,17,10,13,5,4,5,0,0,0,0,0,0,778,374,8,32,50,67,719,275,18573,11,11,7,5,52.16,28.96,1,1,2736,1259,62,42,"LIGA2021",20.456,20.456
"189",1,22,2,73,27,86,66,6,5,26,13,11,6,15,0,3,7,4,7,"Real Sociedad","Granada",2,0,2,0,"15:15","Sun","08-11-20",14,5,83,0,17,22,2,15,0,5,1,0,0,2,1,0,0,646,239,31,6,59,61,555,172,18574,12,8,14,5,53.92,43.48,3,8,2334,1707,52,47,"LIGA2021",29.456,20.456
"190",62,7,17,30.3,69.7,68,83,7,16,14,22,9,9,2,11,5,6,2,4,"Real Valladolid","Athletic Bilbao",1,0,2,1,"17:30","Sun","08-11-20",7,11,17,33,50,7,17,5,9,1,7,0,0,1,1,0,0,228,519,13,37,59,70,156,412,18574,1,6,3,4,41.64,57.94,9,4,1779,2368,41,64,"LIGA2021",20.456,56.456
"191",206,13,9,44.4,55.6,73,76,5,12,24,21,15,24,3,3,18,9,1,3,"Getafe","Villarreal",1,2,1,3,"13:00","Sun","08-11-20",9,8,33,17,50,13,9,10,7,3,1,0,1,0,0,0,0,392,492,28,8,84,88,280,396,18574,7,11,6,7,46.22,60.54,6,2,1741,3055,48,50,"LIGA2021",31.456,76.456
"192",276,7,16,35.5,64.5,77,90,10,11,8,14,15,19,1,8,9,9,2,6,"Valencia","Real Madrid",2,1,4,1,"20:00","Sun","08-11-20",5,14,17,17,67,8,16,4,10,0,6,0,0,3,0,1,0,330,601,8,38,59,47,262,515,18574,4,12,5,10,42.14,59.94,8,3,1932,3075,48,70,"LIGA2021",74.456,154.456
"193",353,17,6,71.9,28.1,83,67,10,7,12,20,16,18,12,1,8,12,3,3,"Levante","Deportivo Alaves",0,1,1,1,"17:30","Sun","08-11-20",2,8,17,0,83,17,6,13,2,4,1,0,3,0,0,0,0,576,224,33,5,55,68,488,151,18574,2,7,2,5,51.64,41.08,7,6,2198,1834,49,47,"LIGA2021",20.456,20.456
